,Lat,Lon,Time.Range,Vessel.ID,Flag,Vessel.Name,Entry.Timestamp,Exit.Timestamp,Gear.Type,Vessel.Type,MMSI,IMO,CallSign,First.Transmission.Date,Last.Transmission.Date,Apparent.Fishing.Hours,vessel_record_id,shipname,n_shipname,n_callsign,imo,flag,first_timestamp,last_timestamp,geartype,length_m,tonnage_gt,engine_power_kw,is_fishing,is_carrier,is_bunker
1,3.08,-90.05,2019-08-23,d6834e731-1d82-ef82-8af4-021d62028522,PAN,B/P-EL MARQUEZ,2019-08-23 14:00:00,2019-08-23 21:00:00,tuna_purse_seines,Fishing,371775000,7515652,HO3272,2019-06-07 14:59:42,2023-07-24 15:10:16,0.86,IATTC-3010|IMO-7515652|PAN-30927-05-E,EL MARQUEZ,ELMARQUEZ,HO3272,7515652,PAN,2019-07-16 17:18:58 UTC,2022-06-24 16:36:49 UTC,tuna_purse_seines,41.5,650,716.2,true,false,false
2,2.39,-88.56,2019-09-25,e23da25df-f3ea-fb90-7a53-ec07fcb805f0,VEN,DON FRANCESCO,2019-09-24 23:00:00,2019-09-28 12:00:00,tuna_purse_seines,Fishing,775615000,7827471,YYJT,2014-11-07 20:24:33,2023-08-13 23:05:11,0.41,IATTC-3232|ICCAT-AT000VEN00064|IMO-7827471,DON FRANCESCO,DONFRANCESCO,YYJT,7827471,VEN,2014-11-09 02:08:26 UTC,2022-06-30 21:19:38 UTC,tuna_purse_seines,61.8,969.5,2684.5,true,false,false
3,2.39,-88.55,2019-09-25,e23da25df-f3ea-fb90-7a53-ec07fcb805f0,VEN,DON FRANCESCO,2019-09-24 23:00:00,2019-09-28 12:00:00,tuna_purse_seines,Fishing,775615000,7827471,YYJT,2014-11-07 20:24:33,2023-08-13 23:05:11,1.19,IATTC-3232|ICCAT-AT000VEN00064|IMO-7827471,DON FRANCESCO,DONFRANCESCO,YYJT,7827471,VEN,2014-11-09 02:08:26 UTC,2022-06-30 21:19:38 UTC,tuna_purse_seines,61.8,969.5,2684.5,true,false,false
4,2.42,-88.4,2019-09-25,e23da25df-f3ea-fb90-7a53-ec07fcb805f0,VEN,DON FRANCESCO,2019-09-24 23:00:00,2019-09-28 12:00:00,tuna_purse_seines,Fishing,775615000,7827471,YYJT,2014-11-07 20:24:33,2023-08-13 23:05:11,2.68,IATTC-3232|ICCAT-AT000VEN00064|IMO-7827471,DON FRANCESCO,DONFRANCESCO,YYJT,7827471,VEN,2014-11-09 02:08:26 UTC,2022-06-30 21:19:38 UTC,tuna_purse_seines,61.8,969.5,2684.5,true,false,false
5,1.87,-92.73,2019-11-17,5492ba40f-f759-b307-9b3e-8fcfb761a9ba,ECU,JULIA D,2019-07-10 23:00:00,2019-12-28 20:00:00,tuna_purse_seines,Fishing,735057620,6723599,HC4566,2018-07-17 21:40:25,2022-04-09 18:26:15,1,IATTC-3820|IMO-6723599,JULIAD,JULIAD,HC4566,6723599,ECU,2018-09-03 19:51:54 UTC,2021-12-23 11:50:38 UTC,tuna_purse_seines,62.2,1189,1777.7,true,false,false
6,1.75,-92.74,2019-11-18,5492ba40f-f759-b307-9b3e-8fcfb761a9ba,ECU,JULIA D,2019-07-10 23:00:00,2019-12-28 20:00:00,tuna_purse_seines,Fishing,735057620,6723599,HC4566,2018-07-17 21:40:25,2022-04-09 18:26:15,10.83,IATTC-3820|IMO-6723599,JULIAD,JULIAD,HC4566,6723599,ECU,2018-09-03 19:51:54 UTC,2021-12-23 11:50:38 UTC,tuna_purse_seines,62.2,1189,1777.7,true,false,false
7,1.74,-92.69,2019-11-17,5492ba40f-f759-b307-9b3e-8fcfb761a9ba,ECU,JULIA D,2019-07-10 23:00:00,2019-12-28 20:00:00,tuna_purse_seines,Fishing,735057620,6723599,HC4566,2018-07-17 21:40:25,2022-04-09 18:26:15,0.34,IATTC-3820|IMO-6723599,JULIAD,JULIAD,HC4566,6723599,ECU,2018-09-03 19:51:54 UTC,2021-12-23 11:50:38 UTC,tuna_purse_seines,62.2,1189,1777.7,true,false,false
8,0.65,-92.6,2019-11-17,98f5b0cec-cc69-5536-5b02-d0d911671568,ECU,DONA CHULE,2019-01-01 19:00:00,2019-12-31 00:00:00,tuna_purse_seines,Fishing,735059025,0,HC:2866,2017-08-07 19:54:20,2023-08-13 23:58:37,0.24,IATTC-3724|IMO-7369663,DONACHULE,DONACHULE,HC2866,7369663,ECU,2017-08-09 04:16:32 UTC,2022-06-30 22:07:23 UTC,tuna_purse_seines,51.6,779,2141,true,false,false
9,1.94,-89.72,2019-12-16,98f5b0cec-cc69-5536-5b02-d0d911671568,ECU,DONA CHULE,2019-01-01 19:00:00,2019-12-31 00:00:00,tuna_purse_seines,Fishing,735059025,0,HC:2866,2017-08-07 19:54:20,2023-08-13 23:58:37,0.03,IATTC-3724|IMO-7369663,DONACHULE,DONACHULE,HC2866,7369663,ECU,2017-08-09 04:16:32 UTC,2022-06-30 22:07:23 UTC,tuna_purse_seines,51.6,779,2141,true,false,false
10,0.26,-92.51,2019-12-23,e4a4e2a23-38f2-2ac5-4674-61db7360e7b4,PAN,TIUNA,2019-10-30 03:00:00,2019-12-23 12:00:00,tuna_purse_seines,Fishing,352419000,8102892,HO-2865,2012-01-05 02:14:42,2023-07-16 00:01:56,0.99,IATTC-3997|IMO-8102892|PAN-30473-PEXT-F-8,TIUNA,TIUNA,HO2865,8102892,PAN,2012-04-19 06:13:51 UTC,2022-06-16 22:26:55 UTC,tuna_purse_seines,65.7,1329,2685.6,true,false,false
