"","date","daily_temperature_2m_min","daily_precipitation_sum","daily_windspeed_10m_max"
"1",1977-01-01,-14.9,0.4,26.5
"2",1977-01-02,-6.5,0,24.3
"3",1977-01-03,-9.3,0.1,13.4
"4",1977-01-04,-4.8,2.2,13.4
"5",1977-01-05,-7.4,0,12.8
"6",1977-01-06,-10.4,0,11.8
"7",1977-01-07,-5.8,33.2,27
"8",1977-01-08,-11.4,2.1,27.1
"9",1977-01-09,-12.9,0,16.5
"10",1977-01-10,-11,44.1,32.2
"11",1977-01-11,-12.7,0.4,28.8
"12",1977-01-12,-14.1,0,19.1
"13",1977-01-13,-17.2,0,16.9
"14",1977-01-14,-16,1.8,10.5
"15",1977-01-15,-11.6,1.5,15.7
"16",1977-01-16,-11,1.1,12.7
"17",1977-01-17,-17,0.7,25.1
"18",1977-01-18,-18.5,0.2,23.4
"19",1977-01-19,-16.4,0.3,14.4
"20",1977-01-20,-10,0,22.3
"21",1977-01-21,-7.6,0,19
"22",1977-01-22,-13.8,0,21
"23",1977-01-23,-13.4,0,18.2
"24",1977-01-24,-10.6,0,10.4
"25",1977-01-25,-5.3,7.2,13.8
"26",1977-01-26,-7.4,0,18.9
"27",1977-01-27,-9.2,1.2,21.2
"28",1977-01-28,-14.8,2.3,27
"29",1977-01-29,-15.1,4.6,33.2
"30",1977-01-30,-17.9,0,21.2
"31",1977-01-31,-14.9,0,23.6
"32",1977-02-01,-13.1,0.2,26.4
"33",1977-02-02,-15,0,22.1
"34",1977-02-03,-12.2,2.6,17.1
"35",1977-02-04,-5.6,0,18.2
"36",1977-02-05,-8.2,0.3,13
"37",1977-02-06,-11.1,0,25.4
"38",1977-02-07,-13.1,0,20
"39",1977-02-08,-12.2,0,18.5
"40",1977-02-09,-11,0,13.9
"41",1977-02-10,-4.1,0.3,16.3
"42",1977-02-11,-8,0.2,14.1
"43",1977-02-12,-0.1,0,15.2
"44",1977-02-13,0.3,9.3,14.8
"45",1977-02-14,-2,0,22.8
"46",1977-02-15,-4.6,1.6,15.6
"47",1977-02-16,-11.7,0,13.7
"48",1977-02-17,-16.1,0,17.1
"49",1977-02-18,-13.4,0,13.8
"50",1977-02-19,-9.6,0.2,14.2
"51",1977-02-20,-7.6,9.4,21.3
"52",1977-02-21,-6.7,1.5,29.8
"53",1977-02-22,-11.4,0.2,19.5
"54",1977-02-23,-3.7,0,13.6
"55",1977-02-24,-2.7,2.2,23.9
"56",1977-02-25,2.2,39.9,33.6
"57",1977-02-26,-2,0,23.5
"58",1977-02-27,-2.1,0.9,17.6
"59",1977-02-28,-3.1,3.6,22.8
"60",1977-03-01,-6.3,0.2,22
"61",1977-03-02,-8.4,0,26.8
"62",1977-03-03,-2.8,0,24.1
"63",1977-03-04,-4.1,9.5,18.2
"64",1977-03-05,1.6,17,19.2
"65",1977-03-06,-0.1,0,18.7
"66",1977-03-07,-2.2,0,12
"67",1977-03-08,-1.8,0,20.9
"68",1977-03-09,-0.2,0,20.6
"69",1977-03-10,4.7,0,20.4
"70",1977-03-11,2.4,0,9.7
"71",1977-03-12,1.1,0,12.7
"72",1977-03-13,5.6,35.9,20.1
"73",1977-03-14,5.1,31,21.1
"74",1977-03-15,3.8,0,20.9
"75",1977-03-16,3.5,2.4,23.9
"76",1977-03-17,-0.1,0,37.9
"77",1977-03-18,-2.2,21.6,20.8
"78",1977-03-19,-2.5,4.8,22.9
"79",1977-03-20,-5.4,0.4,16.8
"80",1977-03-21,-1,0.7,18.8
"81",1977-03-22,-2,9.6,35.8
"82",1977-03-23,0.4,24.9,41
"83",1977-03-24,-1,0.9,29.6
"84",1977-03-25,-3.5,0,27.8
"85",1977-03-26,-2.7,0,22.1
"86",1977-03-27,-1,0,15.8
"87",1977-03-28,-0.6,0.3,14.5
"88",1977-03-29,4.7,9.5,13.7
"89",1977-03-30,8.8,0,16.2
"90",1977-03-31,6.9,7.2,24.4
"91",1977-04-01,1.8,0,24.3
"92",1977-04-02,-0.2,2.1,17.5
"93",1977-04-03,2.5,13.2,35.5
"94",1977-04-04,1.1,0.2,24.7
"95",1977-04-05,1,41.1,23.3
"96",1977-04-06,1.9,1.2,33.5
"97",1977-04-07,-0.3,0,23.6
"98",1977-04-08,-2,4.5,30
"99",1977-04-09,-4.9,0,24.5
"100",1977-04-10,-1.7,0,18
"101",1977-04-11,-2.2,0,17.5
"102",1977-04-12,3.4,0,19.6
"103",1977-04-13,5.8,0,18.1
"104",1977-04-14,5.6,0,25.5
"105",1977-04-15,2.3,0,25
"106",1977-04-16,2.8,0,15.3
"107",1977-04-17,4.1,0,11.1
"108",1977-04-18,4.8,0,11.9
"109",1977-04-19,4.4,0,15.6
"110",1977-04-20,3.3,0,14.2
"111",1977-04-21,8.8,0.3,16
"112",1977-04-22,13.1,1.8,15.3
"113",1977-04-23,6.3,25.4,17.6
"114",1977-04-24,3.9,23.9,20
"115",1977-04-25,3.5,4.5,17.6
"116",1977-04-26,5.1,0.7,8.9
"117",1977-04-27,5.6,3.7,12.2
"118",1977-04-28,6.1,1.5,27.4
"119",1977-04-29,1.2,0,28.7
"120",1977-04-30,4.6,0,20.6
"121",1977-05-01,5.5,0,18.7
"122",1977-05-02,10.2,3,20.2
"123",1977-05-03,7.5,0.1,18.7
"124",1977-05-04,4.3,0,11.7
"125",1977-05-05,7.5,0,13.7
"126",1977-05-06,9.5,2.8,18.8
"127",1977-05-07,9.4,0,18.9
"128",1977-05-08,5.1,1.2,15
"129",1977-05-09,3.8,26.3,29.9
"130",1977-05-10,2.2,34.3,29.6
"131",1977-05-11,4.2,0,19.4
"132",1977-05-12,8.4,0.2,18.6
"133",1977-05-13,8.6,0.7,24.7
"134",1977-05-14,5.9,0,23.3
"135",1977-05-15,6.5,0,13.5
"136",1977-05-16,8.5,0,15.7
"137",1977-05-17,14.8,0,20.3
"138",1977-05-18,10.5,1.3,17
"139",1977-05-19,9.1,0,10.7
"140",1977-05-20,8.5,0,10.2
"141",1977-05-21,13.1,0,13.3
"142",1977-05-22,16.1,0,14.5
"143",1977-05-23,17.2,0,14.7
"144",1977-05-24,17.3,0,13.2
"145",1977-05-25,19.9,0,18.9
"146",1977-05-26,14.5,0,19.6
"147",1977-05-27,15.5,0,21.7
"148",1977-05-28,9.8,3.1,20.5
"149",1977-05-29,8,0,16.2
"150",1977-05-30,9.8,0,11.8
"151",1977-05-31,11.1,0,14.4
"152",1977-06-01,12.9,0.4,19.8
"153",1977-06-02,15,13.2,18
"154",1977-06-03,11.3,1.4,22
"155",1977-06-04,10.6,0,21.1
"156",1977-06-05,14.8,3.5,16.7
"157",1977-06-06,11.2,2.3,11.6
"158",1977-06-07,10,2.1,15.8
"159",1977-06-08,9.7,4.2,20.5
"160",1977-06-09,9.4,2.8,12.4
"161",1977-06-10,11.7,11.2,25.1
"162",1977-06-11,12.3,7.3,25.4
"163",1977-06-12,13.4,14.7,12.1
"164",1977-06-13,13.1,0,10.6
"165",1977-06-14,14.6,0.7,7.8
"166",1977-06-15,14.4,0,14.9
"167",1977-06-16,13.8,0,11.5
"168",1977-06-17,13.4,3.2,21.4
"169",1977-06-18,14.5,1.8,15.5
"170",1977-06-19,12.9,4.2,13.7
"171",1977-06-20,16.4,0,15
"172",1977-06-21,16.1,3.2,10.5
"173",1977-06-22,14,4.9,19.5
"174",1977-06-23,12.8,0.3,8
"175",1977-06-24,14.4,0.6,15.8
"176",1977-06-25,15.8,3.8,15.9
"177",1977-06-26,15.6,19.9,15.2
"178",1977-06-27,15.1,0.6,8.9
"179",1977-06-28,17.4,0,16.5
"180",1977-06-29,17.9,13.6,18
"181",1977-06-30,17.4,0,22.3
"182",1977-07-01,17.8,5.1,17.9
"183",1977-07-02,17.9,0,19
"184",1977-07-03,15.3,0,12.1
"185",1977-07-04,17.2,0,11.6
"186",1977-07-05,19.5,0.1,19.8
"187",1977-07-06,16.3,0,12.8
"188",1977-07-07,15.2,0,10.8
"189",1977-07-08,15.5,18.1,14.2
"190",1977-07-09,15.5,0.3,13.7
"191",1977-07-10,17.1,0,13.9
"192",1977-07-11,15.2,0,13.7
"193",1977-07-12,17.4,5.3,13.7
"194",1977-07-13,19.9,10,14.9
"195",1977-07-14,19.9,0,15.4
"196",1977-07-15,17.3,0,9.8
"197",1977-07-16,21.1,2.3,10
"198",1977-07-17,21.1,1.4,10.3
"199",1977-07-18,22.8,0,12.4
"200",1977-07-19,21,0,14.4
"201",1977-07-20,24.2,0,15.1
"202",1977-07-21,24.3,3.6,15.3
"203",1977-07-22,16.7,0,22.8
"204",1977-07-23,14.1,0,16.9
"205",1977-07-24,17.9,0.3,18.4
"206",1977-07-25,19.3,12.7,22.1
"207",1977-07-26,14.7,0,23
"208",1977-07-27,12.4,0,16
"209",1977-07-28,12.9,0,15.7
"210",1977-07-29,14.8,0,16.8
"211",1977-07-30,16.2,0.9,10.8
"212",1977-07-31,17.4,0,11.5
"213",1977-08-01,18,10.4,17.7
"214",1977-08-02,19.7,5.9,10.3
"215",1977-08-03,18.7,0,12.4
"216",1977-08-04,18.7,0,12.8
"217",1977-08-05,21.1,1.8,17.6
"218",1977-08-06,21.2,3.2,12.6
"219",1977-08-07,19.6,7.6,9.4
"220",1977-08-08,19.7,0,10.9
"221",1977-08-09,19.5,0,19.4
"222",1977-08-10,16.6,8.1,14.8
"223",1977-08-11,18.3,1,10.8
"224",1977-08-12,17.8,4.6,7.7
"225",1977-08-13,18.2,0.4,13.1
"226",1977-08-14,20.9,13.7,18.2
"227",1977-08-15,16.8,0,13.7
"228",1977-08-16,17.1,0.4,12
"229",1977-08-17,19.7,8,19.9
"230",1977-08-18,16.2,0,19.1
"231",1977-08-19,13.5,0,10.7
"232",1977-08-20,14.4,0.1,15.5
"233",1977-08-21,11.9,0,12.6
"234",1977-08-22,14.7,6.8,21.5
"235",1977-08-23,14.1,0,14.5
"236",1977-08-24,16.4,3.5,15
"237",1977-08-25,13,0.5,20.1
"238",1977-08-26,12.1,0,11.3
"239",1977-08-27,14,0,15.3
"240",1977-08-28,19.5,0.1,13.5
"241",1977-08-29,23,0,16.1
"242",1977-08-30,20.2,2.3,14.8
"243",1977-08-31,16.5,0,11.4
"244",1977-09-01,16.4,0,11.9
"245",1977-09-02,21.1,8.4,14.7
"246",1977-09-03,19.7,1,12.8
"247",1977-09-04,16.1,0,11.4
"248",1977-09-05,14.2,2.5,14.3
"249",1977-09-06,17.7,0,12.6
"250",1977-09-07,14.7,0,10.6
"251",1977-09-08,13,0,12
"252",1977-09-09,12.6,0,18.4
"253",1977-09-10,14.5,0.1,16.9
"254",1977-09-11,12.8,0,21.9
"255",1977-09-12,9.9,0,12.5
"256",1977-09-13,14.4,10.4,12.8
"257",1977-09-14,14.7,18.7,23.9
"258",1977-09-15,10.6,0,21.5
"259",1977-09-16,12,6.9,11.7
"260",1977-09-17,13.4,4.3,11.6
"261",1977-09-18,15.5,2.5,12.8
"262",1977-09-19,16.2,8.5,8.9
"263",1977-09-20,9.8,26.6,24.5
"264",1977-09-21,9.8,1.7,18.9
"265",1977-09-22,8.2,0,10.8
"266",1977-09-23,10.6,0.5,9.4
"267",1977-09-24,10.8,5,15.9
"268",1977-09-25,10.3,0,17.6
"269",1977-09-26,12,18.7,22.6
"270",1977-09-27,13.7,1.4,24.3
"271",1977-09-28,12.1,0,11.2
"272",1977-09-29,11.6,1.1,23.2
"273",1977-09-30,8.8,0.2,11.6
"274",1977-10-01,13.3,25.3,23.7
"275",1977-10-02,15.7,15.5,26.1
"276",1977-10-03,9.2,3.8,14.2
"277",1977-10-04,8.2,0,22.7
"278",1977-10-05,7.7,0,12.7
"279",1977-10-06,10.1,0.5,12.9
"280",1977-10-07,6.6,0.1,12.9
"281",1977-10-08,4.6,0,14.5
"282",1977-10-09,8.7,39.2,28.1
"283",1977-10-10,9.2,0,20.5
"284",1977-10-11,6.8,0,11.3
"285",1977-10-12,8.8,0.5,20.3
"286",1977-10-13,7.4,0,17.8
"287",1977-10-14,6.9,3.5,26.1
"288",1977-10-15,6,6.3,22.4
"289",1977-10-16,4.6,18.8,22.4
"290",1977-10-17,5.9,34.6,25.2
"291",1977-10-18,5.9,0.2,22.1
"292",1977-10-19,7.6,16.7,16.9
"293",1977-10-20,8.4,7.3,18.4
"294",1977-10-21,7.4,0,18.2
"295",1977-10-22,8,1.3,21.5
"296",1977-10-23,3.6,0,18.8
"297",1977-10-24,1.2,0,12.7
"298",1977-10-25,4.6,0,11.3
"299",1977-10-26,9.7,0,18
"300",1977-10-27,10.5,0,14.3
"301",1977-10-28,9.7,0,14.8
"302",1977-10-29,6.1,0,13.1
"303",1977-10-30,4.3,0,11.8
"304",1977-10-31,3.5,0,12
"305",1977-11-01,0.9,0,9.3
"306",1977-11-02,3,0,7.7
"307",1977-11-03,7.2,0,7.8
"308",1977-11-04,10.7,2.6,13.1
"309",1977-11-05,9.6,1.8,14.3
"310",1977-11-06,8.4,0.2,8
"311",1977-11-07,7.1,0,23.1
"312",1977-11-08,7.3,6.9,21.7
"313",1977-11-09,10.4,13.5,21.1
"314",1977-11-10,10.7,1.5,17.7
"315",1977-11-11,5.8,6.4,25.9
"316",1977-11-12,2.6,0,12.1
"317",1977-11-13,1.6,4.6,17.6
"318",1977-11-14,-0.8,1.4,21.5
"319",1977-11-15,-1.5,0,11.4
"320",1977-11-16,3.5,0.8,14.2
"321",1977-11-17,6.8,11.6,20.6
"322",1977-11-18,4.7,1.4,22.5
"323",1977-11-19,1.2,0,23.4
"324",1977-11-20,-0.1,0,15.6
"325",1977-11-21,1.6,2.2,13.7
"326",1977-11-22,2.6,1.3,17.7
"327",1977-11-23,1.8,0.6,15.3
"328",1977-11-24,4.4,1.4,14.4
"329",1977-11-25,1.7,0,14.9
"330",1977-11-26,2.1,19.9,23.4
"331",1977-11-27,-4.9,0,32.9
"332",1977-11-28,-4.3,2.4,16
"333",1977-11-29,-1.8,0,16.6
"334",1977-11-30,-2.3,1.2,5.7
"335",1977-12-01,1.6,25.9,19.7
"336",1977-12-02,3.8,0,22.5
"337",1977-12-03,2,0.2,19.9
"338",1977-12-04,-0.3,1.5,17
"339",1977-12-05,-1.8,14.7,23.1
"340",1977-12-06,-2.3,13,24.5
"341",1977-12-07,-5.9,2.2,24
"342",1977-12-08,-9.9,0,18.7
"343",1977-12-09,-9.9,8.8,23.1
"344",1977-12-10,-13.2,0,29.4
"345",1977-12-11,-17,0,21.7
